id,group,event,details,start,end,type
1,Platform development,Authoring environment,Tools for interactive multimedia development and device APIs,2021-05-01,2022-03-31,range
2,Platform development,Hold-Authorise workflow,"Content moderation, approval and feedback",2021-09-30,2022-04-15,range
3,Platform development,Micropayment integration,Payment for content weighted by popularity,2021-10-01,2022-05-01,range
4,Research,Micropayment mechanisms,Best approaches to creator reimbursement,2021-05-01,2021-09-30,range
5,Research,Evidence-based tendering,Integrating science with content requirements,2021-05-01,2022-03-01,range
99,Community mobilisation,Testing and feedback,Trials of content tools and payment systems,2021-11-01,2022-05-01,range
100,Management,Digital marketing campaign,Social media and search marketing ,2022-04-01,2022-05-31,range
103,Management,Project management,"Work package coordinaton, resourcing, monitoring and reporting",2021-05-01,2022-05-31,range
101,Management,Sales capacity,Sale of private and insitutional subscriptions,2022-05-01,2022-05-31,range
6,Community mobilisation,Recruiting initial creators,Identification of power users in community,2021-06-01,2021-08-15,range
44,Community mobilisation,Participative Design,Contultation and user design,2021-08-01,2021-10-01,range
